Day, Time, Open Price, High Price, Low Price, Close Price
2020-07-08, 2020-07-08T16:10:23, None, None, None, None
2020-07-08, 2020-07-08T16:10:25, None, None, None, None
2020-07-08, 2020-07-08T16:10:26, None, None, None, None
2020-07-08, 2020-07-08T16:10:28, 4071.6, 4071.9, 4071.6, 4071.9
2020-07-08, 2020-07-08T16:10:30, None, None, None, None
2020-07-08, 2020-07-08T16:10:32, 4072.3, 4072.3, 4071.9, 4072.3
2020-07-08, 2020-07-08T16:10:33, 4072.4, 4072.4, 4071.9, 4071.9
2020-07-08, 2020-07-08T16:10:34, 4072.3, 4072.3, 4072.3, 4072.3
2020-07-08, 2020-07-08T16:10:35, 4071.9, 4072.3, 4071.9, 4071.9
2020-07-08, 2020-07-08T16:10:36, 4071.6, 4071.6, 4071.6, 4071.6
2020-07-08, 2020-07-08T16:10:37, 4071.9, 4071.9, 4071.9, 4071.9
2020-07-08, 2020-07-08T16:10:39, 4072.3, 4072.3, 4072.3, 4072.3
2020-07-08, 2020-07-08T16:10:41, 4072.6, 4072.6, 4072.3, 4072.4
2020-07-08, 2020-07-08T16:10:43, 4072.3, 4072.4, 4072.3, 4072.3
2020-07-08, 2020-07-08T16:10:46, None, None, None, None
2020-07-08, 2020-07-08T16:10:48, 4071.9, 4071.9, 4071.6, 4071.6
2020-07-08, 2020-07-08T16:10:49, 4071.4, 4071.6, 4071.4, 4071.6
2020-07-08, 2020-07-08T16:10:50, 4071.9, 4071.9, 4071.6, 4071.9
2020-07-08, 2020-07-08T16:10:51, 4072.3, 4072.3, 4072.3, 4072.3
2020-07-08, 2020-07-08T16:10:55, 4072.6, 4072.6, 4072.6, 4072.6
2020-07-08, 2020-07-08T16:10:56, 4072.3, 4072.3, 4072.3, 4072.3
2020-07-08, 2020-07-08T16:10:57, 4072.4, 4072.6, 4072.4, 4072.6
2020-07-08, 2020-07-08T16:10:58, 4072.4, 4072.6, 4072.3, 4072.6
2020-07-08, 2020-07-08T16:10:59, 4072.4, 4072.6, 4072.4, 4072.6
2020-07-08, 2020-07-08T16:11:00, None, None, None, None
2020-07-08, 2020-07-08T16:11:01, 4072.9, 4073.3, 4072.6, 4072.6
2020-07-08, 2020-07-08T16:11:03, 4072.9, 4072.9, 4072.9, 4072.9
2020-07-08, 2020-07-08T16:11:04, 4073.3, 4073.3, 4072.9, 4072.9
2020-07-08, 2020-07-08T16:11:05, 4072.6, 4072.6, 4072.6, 4072.6
2020-07-08, 2020-07-08T16:11:06, 4072.9, 4072.9, 4072.6, 4072.6
2020-07-08, 2020-07-08T16:11:07, 4072.9, 4072.9, 4072.6, 4072.6
2020-07-08, 2020-07-08T16:11:08, 4072.9, 4072.9, 4072.9, 4072.9
2020-07-08, 2020-07-08T16:11:09, 4072.6, 4072.6, 4072.6, 4072.6
2020-07-08, 2020-07-08T16:11:10, 4072.9, 4072.9, 4072.9, 4072.9
2020-07-08, 2020-07-08T16:11:11, 4072.6, 4072.6, 4072.6, 4072.6
2020-07-08, 2020-07-08T16:11:12, 4072.9, 4072.9, 4072.9, 4072.9
2020-07-08, 2020-07-08T16:11:14, 4072.6, 4072.6, 4072.6, 4072.6
2020-07-08, 2020-07-08T16:11:15, None, None, None, None
2020-07-08, 2020-07-08T16:11:16, 4072.4, 4073.9, 4072.4, 4073.9
2020-07-08, 2020-07-08T16:11:17, 4073.6, 4073.9, 4073.3, 4073.3
2020-07-08, 2020-07-08T16:11:18, 4072.9, 4072.9, 4072.9, 4072.9
2020-07-08, 2020-07-08T16:11:19, None, None, None, None
2020-07-08, 2020-07-08T16:11:22, 4072.6, 4072.6, 4072.3, 4072.3
2020-07-08, 2020-07-08T16:11:23, 4071.9, 4072.6, 4071.9, 4072.6
2020-07-08, 2020-07-08T16:11:24, None, None, None, None
2020-07-08, 2020-07-08T16:11:25, 4072.9, 4072.9, 4072.9, 4072.9
2020-07-08, 2020-07-08T16:11:26, 4072.6, 4072.9, 4072.6, 4072.9
2020-07-08, 2020-07-08T16:11:27, 4073.3, 4073.3, 4072.9, 4072.9
